Discipline,Effect,Description,Critique,Link,doi,Notes
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Catling and Johnston 2009,https://journals.sagepub.com/doi/full/10.1080/17470210701814352?casa_token=cBjiHPY1S2EAAAAA%3A__YuabpjtelXo1DyH3PjTZxNcUxcI6UxH6dXF3PrNc4h4C75SIiNcMNzpY7dwPX1wNS27vFpNHg,10.1080/17470210701814352,"Experiment 4: n = 24, citations = 54 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Johnston et al. 2010,https://link.springer.com/article/10.3758/BRM.42.2.461,10.3758/BRM.42.2.461,"n = 25, citations = 35(GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Karimi and Diaz 2020 [,https://link.springer.com/article/10.3758/s13421-020-01042-4,10.3758/s13421-020-01042-4,"n = 212, citations = 9(GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Perret et al. 2014,https://www.sciencedirect.com/science/article/pii/S0093934X14000662,,"n = 21, citations = 42(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Schwitter et al. 2004,https://link.springer.com/article/10.3758/BF03195603,10.3758/BF03195603,"n = 31, citations =  52(GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Snodgrass and Yuditsky 1996,https://link.springer.com/article/10.3758/BF03200540,10.3758/BF03200540,"n = 84, citations = 403(GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages),Early-acquired names of objects are produced more quickly and accurately than late-acquired names in logographic languages such as Japanese and Chinese,Liu et al. 2011,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016505,10.1371/journal.pone.0016505,"n = 30, citations = 84(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",Cuetos and Alija 2003,https://link.springer.com/article/10.3758/BF03195508,10.3758/BF03195508,"n = 54, citations = 86(GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",Severens et al. 2005,https://www.sciencedirect.com/science/article/pii/S0001691805000120,,"n = 40, citations = 192(GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",Shao et al. 2014,https://link.springer.com/article/10.3758/s13428-013-0358-6,10.3758/s13428-013-0358-6,"n = 117, citations = 44(GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian",Wolna et al. 2022,https://link.springer.com/article/10.3758/s13428-022-01923-3,10.3758/s13428-022-01923-3,"n = 98, citations = 0 (GS, January 2023)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (written picture naming),Early-acquired object names are written more quickly and accurately than late-acquired names,Bonin et al. 2002,https://bpspsychub.onlinelibrary.wiley.com/doi/pdfdirect/10.1348/000712602162463?casa_token=V8ZVhbmKBYoAAAAA:xMCsi_h91BzxdQL7Pn-xuHkWpwcQlL0kCQJoCvd5FaP58PoBIqmM0M1Z_llXAA4lvAa8bQ8eOXkI,10.1348/000712602162463,"n = 72, citations = 257(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (written picture naming),Early-acquired object names are written more quickly and accurately than late-acquired names,Catling and Elsherif 2020,https://www.sciencedirect.com/science/article/pii/S0001691820302158,,"Experiment  2b: _n_ = 48, citations = 12(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (written picture naming),Early-acquired object names are written more quickly and accurately than late-acquired names,Perret et al. 2014,https://www.sciencedirect.com/science/article/pii/S0093934X14000662,,"n = 20, citations = 42(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (typing),"Age of acquisition influence on the conceptual stages of lexical retrieval   (typing). **Early-acquired object names are typed more quickly than late-acquired object names. Typing allows more precise measure for the response execution, while written picture naming is a measure for lexical retrieval",Scaltritti et al. 2016,https://www.sciencedirect.com/science/article/pii/S0010027716301755,,"n = 86, citations = 26(GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the post-conceptual stages of lexical retrieval (delayed spoken picture naming),"Age of acquisition influence on the post-lexical stages of lexical retrieval (delayed spoken picture naming). **Early-acquired words should not differ from late-acquired words in terms of accuracy and response speed of spoken naming, when using a delayed picture naming task that requires participants to name a picture a few seconds (e.g. 2-4 sec) after seeing the actual picture. This task enables researchers to assess if any possible delay of naming effects result at an articulatory level, as opposed to a conceptual level or lexical retrieval stage",Barry et al. 2001,https://www.sciencedirect.com/science/article/pii/S0749596X00927438,,"n = 24, citations = 258 (GS, December 2022)"
Cognitive Psychology,Age of acquisition influence on the post-conceptual stages of lexical retrieval (delayed spoken picture naming),"Age of acquisition influence on the post-lexical stages of lexical retrieval (delayed spoken picture naming). **Early-acquired words should not differ from late-acquired words in terms of accuracy and response speed of spoken naming, when using a delayed picture naming task that requires participants to name a picture a few seconds (e.g. 2-4 sec) after seeing the actual picture. This task enables researchers to assess if any possible delay of naming effects result at an articulatory level, as opposed to a conceptual level or lexical retrieval stage",Catling and Johnston 2009,https://journals.sagepub.com/doi/full/10.1080/17470210701814352?casa_token=cBjiHPY1S2EAAAAA%3A__YuabpjtelXo1DyH3PjTZxNcUxcI6UxH6dXF3PrNc4h4C75SIiNcMNzpY7dwPX1wNS27vFpNHg,10.1080/17470210701814352,"Experiment 5: n = 24, citations = 54 (GS, December 2022)"
